word	stem	suffix	expected_phones	actual_phones	class	altered_phone	subfamily
reciting	recite	ing	r AH s AY t IH NG	r IY s AY t IH NG	mutation	IY	
recorder	record	er	r AH k AO r d ER	r IH k AO r d ER	mutation	IH	
recovering	recover	ing	r IH k AH v ER IH NG	r AH k AH v ER IH NG	mutation	AH	
refiner	refine	er	r AH f AY n ER	r IH f AY n ER	mutation	IH	
reformer	reform	er	r AH f AO r m ER	r IH f AO r m ER	mutation	IH	
reforming	reform	ing	r AH f AO r m IH NG	r IH f AO r m IH NG	mutation	IH	
refreshingly	refreshing	ly	r IH f r EH SH IH NG l IY	r IY f r EH SH IH NG l IY	mutation	IY	
refreshment	refresh	ment	r IH f r EH SH m AH n t	r AH f r EH SH m AH n t	mutation	AH	
regardless	regard	less	r IH g AA r d l AH s	r AH g AA r d l AH s	mutation	AH	
rehearsing	rehearse	ing	r IY h ER s IH NG	r IH h ER s IH NG	mutation	IH	
relentless	relent	less	r IH l EH n t l AH s	r IH l EH n t l IH s	mutation	IH	
relentlessly	relentless	ly	r IH l EH n t l IH s l IY	r IH l EH n t l AH s l IY	mutation	AH	
relinquishing	relinquish	ing	r IH l IH NG k w IH SH IH NG	r IY l IH NG k w IH SH IH NG	mutation	IY	
relying	rely	ing	r IH l AY IH NG	r IY l AY IH NG	mutation	IY	
remotely	remote	ly	r IH m OW t l IY	r IY m OW t l IY	mutation	IY	
replacement	replace	ment	r IY p l EY s m AH n t	r IH p l EY s m AH n t	mutation	IH	
replacing	replace	ing	r IY p l EY s IH NG	r IH p l EY s IH NG	mutation	IH	
reporter	report	er	r IY p AO r t ER	r IH p AO r t ER	mutation	IH	
resolutely	resolute	ly	r EH z AH l UW t l IY	r EH s AH l UW t l IY	mutation	s	voicing-sz
respectfully	respectful	ly	r IH s p EH k t f AH l l IY	r IH s p EH k t f AH l IY	elision	l	degemination
respecting	respect	ing	r IH s p EH k t IH NG	r IY s p EH k t IH NG	mutation	IY	
retrieving	retrieve	ing	r IH t r IY v IH NG	r IY t r IY v IH NG	mutation	IY	
reusing	reuse	ing	r IY j UW s IH NG	r IY j UW z IH NG	mutation	z	voicing-sz
revolting	revolt	ing	r IH v OW l t IH NG	r IY v OW l t IH NG	mutation	IY	
revolver	revolve	er	r IY v AA l v ER	r IH v AA l v ER	mutation	IH	
ridiculously	ridiculous	ly	r IH d IH k j AH l AH s l IY	r AH d IH k j AH l AH s l IY	mutation	AH	
rightfully	rightful	ly	r AY t f AH l l IY	r AY t f AH l IY	elision	l	degemination
rigidly	rigid	ly	r IH JH AH d l IY	r IH JH IH d l IY	mutation	IH	
rousing	rouse	ing	r AW s IH NG	r AW z IH NG	mutation	z	voicing-sz
ruefully	rueful	ly	r UW f AH l l IY	r UW f AH l IY	elision	l	degemination
ruining	ruin	ing	r UW AH n IH NG	r UW IH n IH NG	mutation	IH	
rustler	rustle	er	r AH s AH l ER	r AH s l ER	elision	AH	
rustling	rustle	ing	r AH s AH l IH NG	r AH s l IH NG	elision	AH	
salvaging	salvage	ing	s AE l v AH JH IH NG	s AE l v IH JH IH NG	mutation	IH	
sampling	sample	ing	s AE m p AH l IH NG	s AE m p l IH NG	elision	AH	
satisfying	satisfy	ing	s AE t AH s f AY IH NG	s AE t IH s f AY IH NG	mutation	IH	
savagely	savage	ly	s AE v AH JH l IY	s AE v IH JH l IY	mutation	IH	
scaring	scar	ing	s k AA r IH NG	s k EH r IH NG	mutation	EH	
scraping	scrap	ing	s k r AE p IH NG	s k r EY p IH NG	mutation	EY	
seasonally	seasonal	ly	s IY z AH n AH l l IY	s IY z AH n AH l IY	elision	l	degemination
secretly	secret	ly	s IY k r AH t l IY	s IY k r IH t l IY	mutation	IH	
sensitively	sensitive	ly	s EH n s AH t IH v l IY	s EH n s IH t IH v l IY	mutation	IH	
separately	separate	ly	s EH p ER EY t l IY	s EH p ER AH t l IY	mutation	AH	
serenely	serene	ly	s ER IY n l IY	s ER IY n AH l IY	insertion	AH	
servicing	service	ing	s ER v AH s IH NG	s ER v IH s IH NG	mutation	IH	
sexually	sexual	ly	s EH k SH UW AH l l IY	s EH k SH UW AH l IY	elision	l	degemination
shading	shad	ing	SH AE d IH NG	SH EY d IH NG	mutation	EY	
sheathing	sheath	ing	SH IY TH IH NG	SH IY DH IH NG	mutation	DH	
shining	shin	ing	SH IH n IH NG	SH AY n IH NG	mutation	AY	
shortest	short	est	SH AO r t AH s t	SH AO r t IH s t	mutation	IH	
shower	show	er	SH OW ER	SH AW ER	mutation	AW	
shuffling	shuffle	ing	SH AH f AH l IH NG	SH AH f l IH NG	elision	AH	
significantly	significant	ly	s AH g n IH f IH k AH n t l IY	s IH g n IH f IH k AH n t l IY	mutation	IH	
simplest	simple	est	s IH m p AH l AH s t	s IH m p l AH s t	elision	AH	
singly	sing	ly	s IH NG l IY	s IH NG g l IY	insertion	g	
skillfully	skillful	ly	s k IH l f AH l l IY	s k IH l f AH l IY	elision	l	degemination
slater	slat	er	s l AE t ER	s l EY t ER	mutation	EY	
slider	slid	er	s l IH d ER	s l AY d ER	mutation	AY	
sliding	slid	ing	s l IH d IH NG	s l AY d IH NG	mutation	AY	
smartness	smart	ness	s m AA r t n AH s	s m AA r t n IH s	mutation	IH	
socially	social	ly	s OW SH AH l l IY	s OW SH AH l IY	elision	l	degemination
softener	soften	er	s AA f AH n ER	s AO f AH n ER	mutation	AO	
softening	soften	ing	s AA f AH n IH NG	s AO f AH n IH NG	mutation	AO	
softest	soft	est	s AA f t AH s t	s AO f t AH s t	mutation	AO	
softly	soft	ly	s AA f t l IY	s AO f t l IY	mutation	AO	
softness	soft	ness	s AA f t n AH s	s AO f t n AH s	mutation	AO	
solely	sole	ly	s OW l l IY	s OW AH l IY	mutation	AH	
solemnly	solemn	ly	s AA l AH m l IY	s AO l AH m l IY	mutation	AO	
soliciting	solicit	ing	s AH l IH s IH t IH NG	s AH l IH s AH t IH NG	mutation	AH	
sparing	spar	ing	s p AA r IH NG	s p EH r IH NG	mutation	EH	
sparkling	sparkle	ing	s p AA r k AH l IH NG	s p AA r k l IH NG	elision	AH	
specially	special	ly	s p EH SH AH l l IY	s p EH SH AH l IY	elision	l	degemination
spiritually	spiritual	ly	s p IH r IH CH UW AH l l IY	s p IH r IH CH UW AH l IY	elision	l	degemination
splendidly	splendid	ly	s p l EH n d IH d l IY	s p l EH n d AH d l IY	mutation	AH	
spoonful	spoon	ful	s p UW n f AH l	s p UW n f UH l	mutation	UH	
sprinkling	sprinkle	ing	s p r IH NG k AH l IH NG	s p r IH NG k l IH NG	elision	AH	
staring	star	ing	s t AA r IH NG	s t EH r IH NG	mutation	EH	
stating	stat	ing	s t AE t IH NG	s t EY t IH NG	mutation	EY	
statistically	statistical	ly	s t AH t IH s t IH k AH l l IY	s t AH t IH s t IH k AH l IY	elision	l	degemination
stifling	stifle	ing	s t AY f AH l IH NG	s t AY f l IH NG	elision	AH	
strangest	strange	est	s t r EY n JH AH s t	s t r EY n JH IH s t	mutation	IH	
strongest	strong	est	s t r AO NG AH s t	s t r AO NG g AH s t	insertion	g	
stupidest	stupid	est	s t UW p AH d AH s t	s t UW p IH d AH s t	mutation	IH	
substantially	substantial	ly	s AH b s t AE n SH AH l l IY	s AH b s t AE n SH AH l IY	elision	l	degemination
substituting	substitute	ing	s AH b s t AH t UW t IH NG	s AH b s t IH t UW t IH NG	mutation	IH	
successfully	successful	ly	s AH k s EH s f AH l l IY	s AH k s EH s f AH l IY	elision	l	degemination
superbly	superb	ly	s UH p ER b l IY	s UW p ER b l IY	mutation	UW	
superficially	superficial	ly	s UW p ER f IH SH AH l l IY	s UW p ER f IH SH AH l IY	elision	l	degemination
supposedly	supposed	ly	s AH p OW z d l IY	s AH p OW z AH d l IY	insertion	AH	
tackling	tackle	ing	t AE k AH l IH NG	t AE k l IH NG	elision	AH	
tallest	tall	est	t AO l AH s t	t AO l IH s t	mutation	IH	
tearful	tear	ful	t EH r f AH l	t IH r f AH l	mutation	IH	
technically	technical	ly	t EH k n IH k AH l l IY	t EH k n IH k AH l IY	elision	l	degemination
thankfully	thankful	ly	TH AE NG k f AH l l IY	TH AE NG k f AH l IY	elision	l	degemination
thankfulness	thankful	ness	TH AE NG k f AH l n AH s	TH AE NG k f AH l n EH s	mutation	EH	
theoretically	theoretical	ly	TH IY ER EH t IH k AH l l IY	TH IY ER EH t IH k AH l IY	elision	l	degemination
thickest	thick	est	TH IH k AH s t	TH IH k IH s t	mutation	IH	
thoughtfully	thoughtful	ly	TH AO t f AH l l IY	TH AO t f AH l IY	elision	l	degemination
thoughtfulness	thoughtful	ness	TH AO t f AH l n AH s	TH AO t f AH l n IH s	mutation	IH	
timidly	timid	ly	t IH m IH d l IY	t IH m AH d l IY	mutation	AH	
tirelessly	tireless	ly	t AY ER l AH s l IY	t AY r l AH s l IY	mutation	r	
totally	total	ly	t OW t AH l l IY	t OW t AH l IY	elision	l	degemination
traditionally	traditional	ly	t r AH d IH SH AH n AH l l IY	t r AH d IH SH AH n AH l IY	elision	l	degemination
trampling	trample	ing	t r AE m p AH l IH NG	t r AE m p l IH NG	elision	AH	
traversing	traverse	ing	t r AE v ER s IH NG	t r AH v ER s IH NG	mutation	AH	
trickling	trickle	ing	t r IH k AH l IH NG	t r IH k l IH NG	elision	AH	
trifling	trifle	ing	t r AY f AH l IH NG	t r AY f l IH NG	elision	AH	
truthfully	truthful	ly	t r UW TH f AH l l IY	t r UW TH f AH l IY	elision	l	degemination
tumbler	tumble	er	t AH m b AH l ER	t AH m b l ER	elision	AH	
unconditionally	unconditional	ly	AH n k AH n d IH SH AH n AH l l IY	AH n k AH n d IH SH AH n AH l IY	elision	l	degemination
unconsciousness	unconscious	ness	AH n k AA n SH AH s n AH s	AH n k AA n SH AH s n IH s	mutation	IH	
unilaterally	unilateral	ly	j UW n AH l AE t ER AH l l IY	j UW n AH l AE t ER AH l IY	elision	l	degemination
uniting	unit	ing	j UW n AH t IH NG	j UW n AY t IH NG	mutation	AY	
universally	universal	ly	j UW n AH v ER s AH l l IY	j UW n AH v ER s AH l IY	elision	l	degemination
unlawfully	unlawful	ly	AH n l AO f AH l l IY	AH n l AO f AH l IY	elision	l	degemination
unnaturally	unnatural	ly	AH n n AE CH ER AH l l IY	AH n n AE CH ER AH l IY	elision	l	degemination
unofficially	unofficial	ly	AH n AH f IH SH AH l l IY	AH n AH f IH SH AH l IY	elision	l	degemination
unsuccessfully	unsuccessful	ly	AH n s AH k s EH s f AH l l IY	AH n s AH k s EH s f AH l IY	elision	l	degemination
unusually	unusual	ly	AH n j UW ZH UW AH l l IY	AH n j UW ZH UW AH l IY	elision	l	degemination
unwillingness	unwilling	ness	AH n w IH l IH NG n AH s	AH n w IH l IH NG n IH s	mutation	IH	
usually	usual	ly	j UW ZH AH w AH l l IY	j UW ZH AH w AH l IY	elision	l	degemination
vagueness	vague	ness	v EY g n AH s	v EY g n IH s	mutation	IH	
viciousness	vicious	ness	v IH SH AH s n AH s	v IH SH AH s n IH s	mutation	IH	
villager	village	er	v IH l AH JH ER	v IH l IH JH ER	mutation	IH	
virtually	virtual	ly	v ER CH UW AH l l IY	v ER CH UW AH l IY	elision	l	degemination
vitally	vital	ly	v AY t AH l l IY	v AY t AH l IY	elision	l	degemination
volunteering	volunteer	ing	v AA l AH n t IH r IH NG	v AO l AH n t IH r IH NG	mutation	AO	
warehousing	warehouse	ing	w EH r h AW s IH NG	w EH r h AW z IH NG	mutation	z	voicing-sz
wearying	weary	ing	w IH r IY IH NG	w IY r IY IH NG	mutation	IY	
whistling	whistle	ing	w IH s AH l IH NG	w IH s l IH NG	elision	AH	
whitening	whiten	ing	w AY t AH n IH NG	w AY t IH n IH NG	mutation	IH	
whiter	whit	er	w IH t ER	w AY t ER	mutation	AY	
whiting	whit	ing	w IH t IH NG	w AY t IH NG	mutation	AY	
wholly	whole	ly	h OW l l IY	h OW l IY	elision	l	degemination
wickedly	wicked	ly	w IH k AH d l IY	w IH k IH d l IY	mutation	IH	
wilderness	wilder	ness	w AY l d ER n AH s	w IH l d ER n AH s	mutation	IH	
wildest	wild	est	w AY l d AH s t	w AY l d IH s t	mutation	IH	
winder	wind	er	w AY n d ER	w IH n d ER	mutation	IH	
wistfully	wistful	ly	w IH s t f AH l l IY	w IH s t f AH l IY	elision	l	degemination
withdrawing	withdraw	ing	w IH DH d r AO IH NG	w IH TH d r AO IH NG	mutation	TH	
woefully	woeful	ly	w OW f AH l l IY	w OW f AH l IY	elision	l	degemination
wonderfully	wonderful	ly	w AH n d ER f AH l l IY	w AH n d ER f AH l IY	elision	l	degemination
woolly	wool	ly	w UH l l IY	w UH l IY	elision	l	degemination
wounding	wound	ing	w AW n d IH NG	w UW n d IH NG	mutation	UW	
wrather	wrath	er	r AE TH ER	r AE DH ER	mutation	DH	
wrestling	wrestle	ing	r EH s AH l IH NG	r EH s l IH NG	elision	AH	
writer	writ	er	r IH t ER	r AY t ER	mutation	AY	
writing	writ	ing	r IH t IH NG	r AY t IH NG	mutation	AY	
younger	young	er	j AH NG ER	j AH NG g ER	insertion	g	
youngest	young	est	j AH NG AH s t	j AH NG g AH s t	insertion	g	
zealously	zealous	ly	z EH l AH s l IY	z IY l AH s l IY	mutation	IY	
