word	stem	suffix	expected_phones	actual_phones	class	altered_phone	subfamily
contentment	content	ment	k AA n t EH n t m AH n t	k AH n t EH n t m AH n t	mutation	AH	
continually	continual	ly	k AH n t IH n j UW AH l l IY	k AH n t IH n j UW AH l IY	elision	l	degemination
contrasting	contrast	ing	k AA n t r AE s t IH NG	k AH n t r AE s t IH NG	mutation	AH	
conversing	converse	ing	k AA n v ER s IH NG	k AH n v ER s IH NG	mutation	AH	
converting	convert	ing	k AA n v ER t IH NG	k AH n v ER t IH NG	mutation	AH	
coolly	cool	ly	k UW l l IY	k UW l IY	elision	l	degemination
coordinating	coordinate	ing	k OW AO r d AH n AH t IH NG	k OW AO r d AH n EY t IH NG	mutation	EY	
copiously	copious	ly	k OW p IY AH s l IY	k OW p j AH s l IY	mutation	j	
cordially	cordial	ly	k AO r JH AH l l IY	k AO r JH AH l IY	elision	l	degemination
costing	cost	ing	k AA s t IH NG	k AO s t IH NG	mutation	AO	
coupler	couple	er	k AH p AH l ER	k AH p l ER	elision	AH	
coupling	couple	ing	k AH p AH l IH NG	k AH p l IH NG	elision	AH	
crackling	crackle	ing	k r AE k AH l IH NG	k r AE k l IH NG	elision	AH	
critically	critical	ly	k r IH t IH k AH l l IY	k r IH t IH k AH l IY	elision	l	degemination
crucially	crucial	ly	k r UW SH AH l l IY	k r UW SH AH l IY	elision	l	degemination
culminating	culminate	ing	k AH l m IH n EY t IH NG	k AH l m AH n EY t IH NG	mutation	AH	
cultivating	cultivate	ing	k AH l t AH v EY t IH NG	k AH l t IH v EY t IH NG	mutation	IH	
culturally	cultural	ly	k AH l CH ER AH l l IY	k AH l CH ER AH l IY	elision	l	degemination
cushing	cush	ing	k AH SH IH NG	k UH SH IH NG	mutation	UH	
damaging	damage	ing	d AE m AH JH IH NG	d AE m IH JH IH NG	mutation	IH	
dampness	damp	ness	d AE m p n AH s	d AE m p n IH s	mutation	IH	
decidedly	decided	ly	d IH s AY d IH d l IY	d IH s AY d AH d l IY	mutation	AH	
dedicating	dedicate	ing	d EH d AH k EY t IH NG	d EH d IH k EY t IH NG	mutation	IH	
deliberating	deliberate	ing	d IH l IH b ER AH t IH NG	d IH l IH b ER EY t IH NG	mutation	EY	
deliciously	delicious	ly	d IH l IH SH AH s l IY	d IH l IH SH AH SH l IY	mutation	SH	
delightfully	delightful	ly	d IH l AY t f AH l l IY	d IH l AY t f AH l IY	elision	l	degemination
deservedly	deserved	ly	d IH z ER v d l IY	d IH z ER v AH d l IY	insertion	AH	
designating	designate	ing	d EH z AH g n EY t IH NG	d EH z IH g n EY t IH NG	mutation	IH	
determining	determine	ing	d AH t ER m AH n IH NG	d IH t ER m AH n IH NG	mutation	IH	
diagonally	diagonal	ly	d AY AE g AH n AH l l IY	d AY AE g AH n AH l IY	elision	l	degemination
differently	different	ly	d IH f ER AH n t l IY	d IH f r AH n t l IY	mutation	r	
diffusing	diffuse	ing	d IH f j UW s IH NG	d IH f j UW z IH NG	mutation	z	voicing-sz
diligently	diligent	ly	d IH l IH JH AH n t l IY	d IH l AH JH AH n t l IY	mutation	AH	
discouraging	discourage	ing	d IH s k ER IH JH IH NG	d IH s k ER AH JH IH NG	mutation	AH	
dishonest	dishon	est	d IH s AH n AH s t	d IH s AA n AH s t	mutation	AA	
dismally	dismal	ly	d IH z m AH l l IY	d IH z m AH l IY	elision	l	degemination
disobeying	disobey	ing	d IH s AH b EY IH NG	d IH s OW b EY IH NG	mutation	OW	
dissolving	dissolve	ing	d IH z AA l v IH NG	d IH z AO l v IH NG	mutation	AO	
doggedly	dogged	ly	d AO g d l IY	d AO g AH d l IY	insertion	AH	
drawer	draw	er	d r AO ER	d r AO r	mutation	r	
dreadfully	dreadful	ly	d r EH d f AH l l IY	d r EH d f AH l IY	elision	l	degemination
dueling	duel	ing	d UW AH l IH NG	d UW l IH NG	elision	AH	
earnest	earn	est	ER n AH s t	ER n IH s t	mutation	IH	
earnestly	earnest	ly	ER n IH s t l IY	ER n AH s t l IY	mutation	AH	
earnestness	earnest	ness	ER n IH s t n AH s	ER n AH s t n AH s	mutation	AH	
elegantly	elegant	ly	EH l AH g AH n t l IY	EH l IH g AH n t l IY	mutation	IH	
empirically	empirical	ly	EH m p IH r IH k AH l l IY	EH m p IH r IH k AH l IY	elision	l	degemination
enacting	enact	ing	IH n AE k t IH NG	EH n AE k t IH NG	mutation	EH	
enactment	enact	ment	IH n AE k t m AH n t	EH n AE k t m AH n t	mutation	EH	
encampment	encamp	ment	IH n k AE m p m AH n t	IH n k AE m p m IH n t	mutation	IH	
enclosing	enclose	ing	IH n k l OW z IH NG	EH n k l OW z IH NG	mutation	EH	
encountering	encounter	ing	IH n k AW n t ER IH NG	EH n k AW n t ER IH NG	mutation	EH	
encroachment	encroach	ment	IH n k r OW CH m AH n t	EH n k r OW CH m AH n t	mutation	EH	
enlargement	enlarge	ment	EH n l AA r JH m AH n t	IH n l AA r JH m AH n t	mutation	IH	
enlarging	enlarge	ing	EH n l AA r JH IH NG	IH n l AA r JH IH NG	mutation	IH	
ensuing	ensue	ing	IH n s UW IH NG	EH n s UW IH NG	mutation	EH	
enticing	entice	ing	IH n t AY s IH NG	EH n t AY s IH NG	mutation	EH	
environmentally	environmental	ly	IH n v AY r AH n m EH n t AH l l IY	IH n v AY r AH n m EH n t AH l IY	elision	l	degemination
equally	equal	ly	IY k w AH l l IY	IY k w AH l IY	elision	l	degemination
erupting	erupt	ing	IH r AH p t IH NG	IY r AH p t IH NG	mutation	IY	
essentially	essential	ly	EH s EH n SH AH l l IY	EH s EH n SH AH l IY	elision	l	degemination
estimating	estimate	ing	EH s t AH m AH t IH NG	EH s t AH m EY t IH NG	mutation	EY	
eternally	eternal	ly	IH t ER n AH l l IY	IH t ER n AH l IY	elision	l	degemination
evening	even	ing	IY v IH n IH NG	IY v n IH NG	elision	IH	
evenly	even	ly	IY v IH n l IY	IY v AH n l IY	mutation	AH	
examiner	examine	er	IH g z AE m IH n ER	IH g z AE m AH n ER	mutation	AH	
excepting	except	ing	IH k s EH p t IH NG	EH k s EH p t IH NG	mutation	EH	
exceptionally	exceptional	ly	IH k s EH p SH AH n AH l l IY	IH k s EH p SH AH n AH l IY	elision	l	degemination
experimenter	experiment	er	IH k s p EH r AH m AH n t ER	IH k s p EH r AH m EH n t ER	mutation	EH	
exporter	export	er	EH k s p AO r t ER	IH k s p AO r t ER	mutation	IH	
exporting	export	ing	EH k s p AO r t IH NG	IH k s p AO r t IH NG	mutation	IH	
expressly	express	ly	IH k s p r EH s l IY	EH k s p r EH s l IY	mutation	EH	
externally	external	ly	IH k s t ER n AH l l IY	IH k s t ER n AH l IY	elision	l	degemination
fairest	fair	est	f EH r AH s t	f EH r IH s t	mutation	IH	
faithfully	faithful	ly	f EY TH f AH l l IY	f EY TH f AH l IY	elision	l	degemination
faithfulness	faithful	ness	f EY TH f AH l n AH s	f EY TH f AH l n EH s	mutation	EH	
falling	fall	ing	f AO l IH NG	f AA l IH NG	mutation	AA	
fatally	fatal	ly	f EY t AH l l IY	f EY t AH l IY	elision	l	degemination
federally	federal	ly	f EH d ER AH l l IY	f EH d ER AH l IY	elision	l	degemination
feverishly	feverish	ly	f IY v ER IH SH l IY	f EH v ER IH SH l IY	mutation	EH	
finally	final	ly	f AY n AH l l IY	f AY n AH l IY	elision	l	degemination
financially	financial	ly	f AH n AE n SH AH l l IY	f AH n AE n SH AH l IY	elision	l	degemination
fiscally	fiscal	ly	f IH s k AH l l IY	f IH s k AH l IY	elision	l	degemination
fitfully	fitful	ly	f IH t f AH l l IY	f IH t f AH l IY	elision	l	degemination
flower	flow	er	f l OW ER	f l AW ER	mutation	AW	
forcefully	forceful	ly	f AO r s f AH l l IY	f AO r s f AH l IY	elision	l	degemination
formally	formal	ly	f AO r m AH l l IY	f AO r m AH l IY	elision	l	degemination
fractionally	fractional	ly	f r AE k SH AH n AH l l IY	f r AE k SH AH n AH l IY	elision	l	degemination
frightfully	frightful	ly	f r AY t f AH l l IY	f r AY t f AH l IY	elision	l	degemination
functionally	functional	ly	f AH NG k SH AH n AH l l IY	f AH NG k SH AH n AH l IY	elision	l	degemination
fundamentally	fundamental	ly	f AH n d AH m EH n t AH l l IY	f AH n d AH m EH n t AH l IY	elision	l	degemination
gather	gath	er	g AE TH ER	g AE DH ER	mutation	DH	
generally	general	ly	JH EH n ER AH l l IY	JH EH n ER AH l IY	elision	l	degemination
gentler	gentle	er	JH EH n t AH l ER	JH EH n t l ER	elision	AH	
geographically	geographical	ly	JH IY AH g r AE f IH k AH l l IY	JH IY AH g r AE f IH k AH l IY	elision	l	degemination
globally	global	ly	g l OW b AH l l IY	g l OW b AH l IY	elision	l	degemination
government	govern	ment	g AH v ER n m AH n t	g AH v ER m AH n t	elision	n	
gracefully	graceful	ly	g r EY s f AH l l IY	g r EY s f AH l IY	elision	l	degemination
grader	grad	er	g r AE d ER	g r EY d ER	mutation	EY	
grading	grad	ing	g r AE d IH NG	g r EY d IH NG	mutation	EY	
gradually	gradual	ly	g r AE JH UW AH l l IY	g r AE JH UW AH l IY	elision	l	degemination
graduating	graduate	ing	g r AE JH AH w AH t IH NG	g r AE JH AH w EY t IH NG	mutation	EY	
grappling	grapple	ing	g r AE p AH l IH NG	g r AE p l IH NG	elision	AH	
gratefully	grateful	ly	g r EY t f AH l l IY	g r EY t f AH l IY	elision	l	degemination
gravest	grave	est	g r EY v AH s t	g r AE v AH s t	mutation	AE	
groveling	grovel	ing	g r AA v AH l IH NG	g r AO v AH l IH NG	mutation	AO	
growling	growl	ing	g r AW l IH NG	g r OW l IH NG	mutation	OW	
guiltless	guilt	less	g IH l t l AH s	g IH l t l IH s	mutation	IH	
guinness	guin	ness	g IH n n AH s	g IH n AH s	elision	n	degemination
habitually	habitual	ly	h AH b IH CH UW AH l l IY	h AH b IH CH UW AH l IY	elision	l	degemination
handedly	handed	ly	h AE n d AH d l IY	h AE n d IH d l IY	mutation	IH	
handful	hand	ful	h AE n d f AH l	h AE n d f UH l	mutation	UH	
handler	handle	er	h AE n d AH l ER	h AE n d l ER	elision	AH	
handling	handle	ing	h AE n d AH l IH NG	h AE n d l IH NG	elision	AH	
harrowing	harrow	ing	h AE r OW IH NG	h EH r OW IH NG	mutation	EH	
hasting	hast	ing	h AE s t IH NG	h EY s t IH NG	mutation	EY	
heartedly	hearted	ly	h AA r t AH d l IY	h AA r t IH d l IY	mutation	IH	
helpfully	helpful	ly	h EH l p f AH l l IY	h EH l p f AH l IY	elision	l	degemination
highlander	highland	er	h AY l AH n d ER	h AY l AE n d ER	mutation	AE	
hinder	hind	er	h AY n d ER	h IH n d ER	mutation	IH	
historically	historical	ly	h IH s t AO r IH k AH l l IY	h IH s t AO r IH k AH l IY	elision	l	degemination
hopefully	hopeful	ly	h OW p f AH l l IY	h OW p f AH l IY	elision	l	degemination
hourly	hour	ly	AW ER l IY	AW r l IY	mutation	r	
housing	house	ing	h AW s IH NG	h AW z IH NG	mutation	z	voicing-sz
